client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
2f60b127e4975b62864f78096bcf6bc0dc87945e35a2c15e976117150ffdab4a8eaba33c3005419c6d7ea303f6ff61c7e0c5bc4573adf0d3a8917f9592159950	common_voice_kmr_34781673.mp3	3a8aff4b3f1aaa3c895478b65bde3c229b36842d65d3960b55c1d6dfa81c2d17	Tom derketiye derve?		4	0	twenties	male_masculine	Standart		kmr	
2f60b127e4975b62864f78096bcf6bc0dc87945e35a2c15e976117150ffdab4a8eaba33c3005419c6d7ea303f6ff61c7e0c5bc4573adf0d3a8917f9592159950	common_voice_kmr_34781675.mp3	514c4787a87a4945e6d374ccfb70a56163a76b038c829d5917f7f4f6d2648c1e	Tom matmayî mabû li hember vê bertekê.		4	0	twenties	male_masculine	Standart		kmr	
2f60b127e4975b62864f78096bcf6bc0dc87945e35a2c15e976117150ffdab4a8eaba33c3005419c6d7ea303f6ff61c7e0c5bc4573adf0d3a8917f9592159950	common_voice_kmr_34781736.mp3	5bfce864f0180b2e7b65f31524425170079f2e04b99af2e6bf2ddcb6f72535aa	Nexweş im.		4	0	twenties	male_masculine	Standart		kmr	
2f60b127e4975b62864f78096bcf6bc0dc87945e35a2c15e976117150ffdab4a8eaba33c3005419c6d7ea303f6ff61c7e0c5bc4573adf0d3a8917f9592159950	common_voice_kmr_34781738.mp3	40a4b5e9a029998ecf789244ffedb734d1e21bf5bad8f710c916f15514c7df01	Wî kevirek avêt kûçikê.		4	0	twenties	male_masculine	Standart		kmr	
2f60b127e4975b62864f78096bcf6bc0dc87945e35a2c15e976117150ffdab4a8eaba33c3005419c6d7ea303f6ff61c7e0c5bc4573adf0d3a8917f9592159950	common_voice_kmr_34781841.mp3	2bcf80da9bde57ff16998c50e8590b69dd24adf846b736cd5c7680550669a607	Ez ji navê xwe hez nakim.		6	0	twenties	male_masculine	Standart		kmr	
2f60b127e4975b62864f78096bcf6bc0dc87945e35a2c15e976117150ffdab4a8eaba33c3005419c6d7ea303f6ff61c7e0c5bc4573adf0d3a8917f9592159950	common_voice_kmr_34782020.mp3	5023c475f386642d26b7486fd3f43d65aba116b3e7973c6dd16a9e9361599f55	Tom li bisikletê xwe siwar dibû.		4	0	twenties	male_masculine	Standart		kmr	
2f60b127e4975b62864f78096bcf6bc0dc87945e35a2c15e976117150ffdab4a8eaba33c3005419c6d7ea303f6ff61c7e0c5bc4573adf0d3a8917f9592159950	common_voice_kmr_34782023.mp3	44c21547dba328b1238ecdb1968bb7449fa3eb7525051872d2b9f65c9619ba92	Tom got Mary hewl dide kîloyên xwe kêm bike.		2	0	twenties	male_masculine	Standart		kmr	
2f60b127e4975b62864f78096bcf6bc0dc87945e35a2c15e976117150ffdab4a8eaba33c3005419c6d7ea303f6ff61c7e0c5bc4573adf0d3a8917f9592159950	common_voice_kmr_34782181.mp3	0e94262c1f059a6713448c7508c570e83c6d51658f8ed50656a6137f57dd3068	Îşev were min bibîne.		4	0	twenties	male_masculine	Standart		kmr	
2f60b127e4975b62864f78096bcf6bc0dc87945e35a2c15e976117150ffdab4a8eaba33c3005419c6d7ea303f6ff61c7e0c5bc4573adf0d3a8917f9592159950	common_voice_kmr_34782183.mp3	4db94efd8a6d060c5fcebdac534dbef2de531000d1ab55619788d89de53f3c13	Direve.		4	0	twenties	male_masculine	Standart		kmr	
2f60b127e4975b62864f78096bcf6bc0dc87945e35a2c15e976117150ffdab4a8eaba33c3005419c6d7ea303f6ff61c7e0c5bc4573adf0d3a8917f9592159950	common_voice_kmr_34782219.mp3	3437b4cf4600931aa932e0952bb26d30e8698afb76dd68d5bafe4824a68e56d6	Ev pirtûk reş e.		4	0	twenties	male_masculine	Standart		kmr	
