client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
1186235c0b0e1956511c204a80662db8f84d4f6170081bdc5d9169cfdb7f8693f24198aae06065b088fdd5744558234164e80effcc2ca9e4ad98844e7a00f760	common_voice_zza_40757947.mp3	233aacf9e47ce115e926ba37daab648acdb8fb3ee5ecbeb79824fd83e03525b1	Didanê ey dejeno		2	0	thirties				zza	
1186235c0b0e1956511c204a80662db8f84d4f6170081bdc5d9169cfdb7f8693f24198aae06065b088fdd5744558234164e80effcc2ca9e4ad98844e7a00f760	common_voice_zza_40757948.mp3	229bff0f2f7e988ebbf5728baffef47e2bceeda979042ff7abfc8a7e8d8b4bdd	Heyat heq nîyo		2	0	thirties				zza	
1186235c0b0e1956511c204a80662db8f84d4f6170081bdc5d9169cfdb7f8693f24198aae06065b088fdd5744558234164e80effcc2ca9e4ad98844e7a00f760	common_voice_zza_40757949.mp3	1d85180c41471f6b4ad125c35ad62ee6f74954b1c3988ef036c0781298e795c1	Goşdaritişê nê qalan dima vanê		2	1	thirties				zza	
1186235c0b0e1956511c204a80662db8f84d4f6170081bdc5d9169cfdb7f8693f24198aae06065b088fdd5744558234164e80effcc2ca9e4ad98844e7a00f760	common_voice_zza_40757950.mp3	15c4ec96ff229d9dab35c294d6b8d434f3e51c5ca8642b6282bf805083264a97	Uca ya		2	0	thirties				zza	
1186235c0b0e1956511c204a80662db8f84d4f6170081bdc5d9169cfdb7f8693f24198aae06065b088fdd5744558234164e80effcc2ca9e4ad98844e7a00f760	common_voice_zza_40757952.mp3	085e79808d0c1e88f373831b0a721f8bb7387f6d4679caad4713cd9d83b09f77	Heq to ra razî bo		2	0	thirties				zza	
1186235c0b0e1956511c204a80662db8f84d4f6170081bdc5d9169cfdb7f8693f24198aae06065b088fdd5744558234164e80effcc2ca9e4ad98844e7a00f760	common_voice_zza_40757989.mp3	1cca4e59c2d33784f5b9c2748fbd6ee3023ac11c79c266e878643b04ea01c0da	Destê aye vist mîyanê çengê mi		2	0	thirties				zza	
1186235c0b0e1956511c204a80662db8f84d4f6170081bdc5d9169cfdb7f8693f24198aae06065b088fdd5744558234164e80effcc2ca9e4ad98844e7a00f760	common_voice_zza_40757990.mp3	25a6be0d80336cb09fd82a402d42671738104c057c0e2fdedb0aba254d8348aa	Peyser şîyêne dewe		2	1	thirties				zza	
1186235c0b0e1956511c204a80662db8f84d4f6170081bdc5d9169cfdb7f8693f24198aae06065b088fdd5744558234164e80effcc2ca9e4ad98844e7a00f760	common_voice_zza_40757991.mp3	1f021fd4a5fbe464d2939f0023828ab921de146e537e81bfc0f4df45cd2c77a2	Mi çim ser ra fetilna		2	0	thirties				zza	
1186235c0b0e1956511c204a80662db8f84d4f6170081bdc5d9169cfdb7f8693f24198aae06065b088fdd5744558234164e80effcc2ca9e4ad98844e7a00f760	common_voice_zza_40757993.mp3	1786453e92f6e6ddf269827f4e16a215f304e66c8ff40e893c01070234a2a631	Pê mi kay meke!		2	1	thirties				zza	
1186235c0b0e1956511c204a80662db8f84d4f6170081bdc5d9169cfdb7f8693f24198aae06065b088fdd5744558234164e80effcc2ca9e4ad98844e7a00f760	common_voice_zza_40757995.mp3	0351a25d065bb8417e061c340ea37d22efc82c2053e7f1ed809c3e044da7d805	Doktor qayîtê nêweşan keno		2	0	thirties				zza	
